ID,D1,D2,D3,D4,D5,D6,D7,A1,A2,A3,A4,A5,A6,A7,S1,S2,S3,S4,S5,S6,S7
UID_38,1,2,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,1,2
UID_39,1,2,1,0,1,1,0,3,2,1,3,2,1,0,1,1,1,1,0,0,0
UID_40,0,1,0,1,0,0,0,2,0,1,1,0,0,1,2,1,0,1,1,1,1
UID_41,1,1,0,0,1,1,0,1,0,3,1,2,0,1,1,2,1,1,1,1,2
UID_42,3,1,2,3,1,3,3,1,0,2,2,1,0,3,2,1,3,2,1,1,3
UID_43,0,1,0,0,1,0,0,2,1,1,0,1,0,0,1,2,1,1,0,1,1
UID_44,0,0,0,2,0,0,0,1,0,0,1,1,0,2,3,2,0,1,1,0,3
UID_45,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,3,1
UID_46,1,1,0,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,1,1,0
UID_47,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
UID_48,2,2,2,2,2,1,2,3,3,2,3,3,3,3,1,3,3,3,2,2,3
UID_49,1,2,1,2,2,1,1,2,1,2,2,3,2,2,2,2,2,2,1,1,2
UID_50,1,1,0,2,3,3,0,1,2,2,1,2,1,1,2,0,1,1,1,1,3
UID_51,2,1,1,0,0,0,3,1,0,2,0,0,2,1,1,1,1,0,1,0,0
UID_52,0,0,0,0,0,1,1,1,0,1,2,1,0,0,1,1,0,0,1,2,1
UID_53,0,0,0,2,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,3
UID_54,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0
UID_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UID_56,1,1,0,1,0,0,0,3,1,1,0,1,0,0,3,0,0,1,1,1,1
UID_57,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
UID_58,0,1,1,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0
UID_59,0,1,0,1,1,0,0,1,0,1,1,2,0,2,0,2,1,2,1,1,3
UID_60,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1
UID_61,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1
UID_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UID_63,0,3,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0
UID_64,2,2,2,2,2,2,2,2,0,0,3,3,2,2,1,2,3,3,1,1,3
UID_65,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,2
UID_66,2,1,1,1,1,3,3,3,1,1,1,1,1,2,2,1,1,2,2,1,2
UID_67,1,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1
UID_68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UID_69,0,1,0,0,1,0,0,1,1,2,2,0,0,0,1,0,0,1,0,2,0
UID_70,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,1,0,0,0
UID_71,1,1,0,0,0,0,1,1,1,1,3,2,2,1,1,1,2,1,1,1,3
UID_72,0,0,0,2,0,0,0,1,0,0,2,1,0,2,2,0,1,2,1,0,1
UID_73,0,2,0,0,0,0,0,1,1,1,2,1,1,0,0,2,1,1,1,1,0
UID_74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UID_75,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0
UID_76,0,1,2,2,1,3,2,1,1,0,1,2,2,3,2,2,2,3,2,1,2
UID_77,0,1,0,1,2,0,0,0,0,0,0,2,0,1,1,1,0,0,1,1,1
UID_78,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
UID_79,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
UID_80,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
UID_81,0,2,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
UID_82,0,0,0,1,0,0,0,3,0,2,0,0,0,2,1,0,2,3,0,0,3
UID_83,1,2,1,0,0,0,0,3,0,1,3,1,0,2,1,1,0,1,0,0,1
UID_84,0,2,1,1,0,1,0,2,2,1,2,1,1,2,0,2,2,1,1,0,1
UID_85,1,0,1,2,1,3,1,1,1,2,2,2,0,2,2,2,1,1,2,2,2
UID_86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
UID_87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UID_88,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,2,0,2
UID_89,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,2,1,1,0,1,1
UID_90,2,3,1,1,2,2,3,3,1,3,3,2,3,3,2,3,2,2,2,1,3
UID_91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UID_92,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
UID_93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UID_94,2,3,1,3,3,3,3,3,3,0,3,2,2,3,3,3,3,3,2,1,1
UID_95,1,2,0,1,0,1,0,2,3,1,2,2,2,2,3,2,3,2,1,0,2
UID_96,0,1,0,0,1,0,0,3,0,1,0,2,1,0,2,2,1,1,0,1,2
UID_97,1,1,0,1,1,1,0,1,0,2,0,0,2,2,2,0,1,1,1,1,3
UID_98,1,2,1,1,1,1,0,3,0,3,0,0,1,1,3,1,0,1,2,1,1
UID_99,1,1,2,2,1,1,1,3,3,1,1,2,2,2,1,2,1,2,1,0,2
UID_100,1,2,2,2,2,2,2,2,1,3,2,1,1,2,2,1,2,2,2,1,2
UID_101,1,2,3,2,0,1,2,0,3,1,2,2,1,1,1,2,3,3,1,0,2
UID_102,1,1,1,0,1,1,0,3,0,1,1,1,0,0,1,0,1,0,0,1,1
UID_103,0,3,3,1,1,2,1,3,0,3,1,1,0,0,0,3,0,1,0,2,1
UID_104,1,1,0,1,0,0,1,2,0,1,1,1,1,0,1,2,0,1,1,2,2
UID_105,1,1,1,1,1,1,0,3,2,1,2,2,2,2,2,2,2,2,1,2,1
UID_106,1,1,0,0,1,1,0,1,2,1,2,3,1,2,1,0,0,2,1,0,3
UID_107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UID_108,0,0,0,0,1,0,0,2,1,0,1,1,1,2,0,1,2,1,0,1,1
UID_109,2,1,3,3,2,3,3,3,1,2,3,2,3,3,3,1,3,3,1,1,3
UID_110,0,1,1,0,1,1,0,1,0,2,1,1,0,0,1,1,0,1,1,1,1
UID_111,2,1,2,3,1,2,2,0,2,2,2,2,2,1,1,3,2,3,1,2,1
UID_112,1,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,3,2,1,1,1
UID_113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
UID_114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UID_115,0,1,1,1,0,1,1,3,1,0,0,0,1,1,1,0,0,0,0,0,0
UID_116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UID_117,0,1,0,0,2,0,0,2,0,1,0,1,0,0,1,0,1,0,1,1,1
UID_118,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
UID_119,2,2,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,2,2,2,2
UID_120,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1
UID_121,1,2,0,1,1,0,0,1,0,2,2,2,0,1,1,1,3,1,2,0,1
UID_122,0,0,2,1,0,0,1,1,3,0,2,1,3,0,2,0,1,1,0,0,3
UID_123,1,1,1,1,1,1,0,2,1,2,3,1,0,2,1,2,2,2,2,2,3
UID_124,2,1,1,1,1,0,0,3,1,1,1,1,0,0,2,1,1,1,1,0,1
UID_125,1,0,0,1,1,1,0,3,2,0,2,1,2,1,0,1,2,1,1,0,3
UID_126,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,1,1,0
UID_127,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
UID_128,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0
UID_129,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
UID_130,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
UID_131,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,3,1,1,2
UID_132,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1
UID_133,2,1,1,2,1,2,1,2,1,2,3,2,1,2,3,2,3,2,1,1,2
UID_134,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UID_135,1,2,2,2,1,2,1,3,2,1,3,2,1,1,2,2,2,3,2,1,3
UID_136,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1
UID_137,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,1,3,3
UID_138,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,2,3
UID_139,0,0,0,1,0,0,0,1,1,1,1,1,0,1,2,0,1,1,2,1,0
UID_140,2,3,1,1,1,2,0,1,1,1,1,1,0,2,2,1,2,1,1,2,2
UID_141,0,0,0,0,0,0,0,1,2,1,1,1,0,1,1,1,0,0,1,1,1
UID_142,1,2,2,0,1,0,0,2,1,0,1,1,1,1,1,3,2,1,1,1,0
UID_143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UID_144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UID_145,1,2,1,2,1,1,0,2,2,2,2,2,1,0,1,1,1,1,1,2,2
UID_146,1,1,1,1,1,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2
UID_147,1,1,1,1,1,0,0,1,1,1,2,2,2,0,0,1,1,1,2,2,2
UID_148,1,1,1,0,0,0,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
UID_149,2,2,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,0,0
UID_150,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,3,3
UID_151,3,3,2,1,1,1,1,2,3,3,3,3,3,3,3,2,2,3,3,3,3
UID_152,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1
UID_153,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,3,3,1,1,1
UID_154,3,3,1,1,1,1,0,3,0,2,2,2,2,2,2,2,2,2,2,2,2
UID_155,1,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2
UID_156,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2
UID_157,2,2,2,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
UID_158,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3
UID_159,1,2,2,2,1,2,3,2,3,3,3,3,3,3,3,3,2,2,3,3,1
UID_160,1,1,1,0,0,0,0,2,2,3,3,3,3,3,1,0,0,0,1,1,1
UID_161,1,1,2,2,2,2,2,3,2,1,1,2,1,2,3,1,0,2,2,2,2
UID_162,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,2,2,1
UID_163,2,2,1,1,1,1,1,0,1,1,3,3,3,3,2,2,2,1,1,0,1
UID_164,1,2,3,3,3,3,3,2,3,3,2,3,3,1,1,1,1,3,1,0,3
UID_165,1,1,2,2,2,2,2,2,2,1,1,1,2,2,3,3,3,2,3,3,3
UID_166,2,2,2,2,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,2,1
UID_167,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UID_168,1,1,1,1,1,1,1,2,2,3,2,2,2,3,3,3,3,2,1,2,1
UID_169,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,0,0,1
UID_170,2,2,1,1,1,1,1,0,1,2,1,1,1,1,2,1,1,2,1,2,2
UID_171,2,2,2,1,1,1,1,2,3,3,2,2,2,2,2,3,2,3,2,1,1
UID_172,3,3,2,2,2,2,2,1,1,3,3,3,3,3,1,1,1,1,1,2,3
UID_173,1,3,3,3,3,3,3,2,3,3,3,3,3,3,1,2,3,3,2,3,3
UID_174,1,0,1,1,1,1,1,1,2,1,3,1,3,3,1,1,3,0,1,3,3
UID_175,1,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,2,2
UID_176,1,1,2,2,2,2,2,2,1,1,1,3,3,3,1,3,1,1,1,3,3
UID_177,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
UID_178,1,1,1,0,0,0,0,1,2,1,1,2,2,2,3,2,3,1,3,3,0
UID_179,1,1,0,0,0,0,0,2,3,2,2,1,2,2,3,0,2,1,1,2,1
UID_180,1,1,3,3,3,3,3,2,2,1,1,1,2,1,3,3,2,2,2,2,2
UID_181,3,3,2,2,2,2,2,2,3,3,3,2,2,1,2,1,3,3,3,3,1
UID_182,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,0
UID_183,1,2,2,2,2,2,2,3,2,3,2,2,3,2,1,1,2,2,2,2,0
UID_184,2,2,2,2,1,1,1,0,1,1,3,1,3,1,3,2,2,1,1,2,1
UID_185,2,3,3,3,3,3,3,2,3,2,2,3,2,3,2,2,2,3,2,2,2
UID_186,0,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2
UID_187,0,1,1,1,1,1,1,2,2,1,2,1,1,1,0,2,3,2,1,1,1
UID_188,2,2,2,1,1,1,1,2,2,2,2,2,2,2,3,3,2,3,2,3,3
UID_189,2,1,1,2,2,2,1,1,2,1,3,1,2,3,1,1,1,3,3,3,3
UID_190,1,2,2,2,1,1,1,1,0,2,1,1,1,1,3,2,1,2,1,1,1
UID_191,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,1,1,2
UID_192,3,3,3,3,3,3,3,2,3,3,2,3,2,2,3,3,3,3,3,2,3
UID_193,2,2,2,1,1,1,1,2,2,2,3,3,2,1,3,3,3,3,3,1,3
UID_194,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1
UID_195,3,2,2,2,2,2,2,3,3,2,3,3,3,3,3,1,1,1,1,1,1
UID_196,1,1,1,1,0,0,0,1,2,1,1,1,2,1,2,2,3,1,1,1,1
UID_197,0,1,0,0,0,0,0,2,1,1,3,2,2,3,3,2,1,0,0,2,2
UID_198,3,3,1,1,1,1,1,3,3,3,3,3,3,3,1,3,3,3,2,0,3
UID_199,2,2,2,1,1,1,1,3,3,3,3,2,2,3,3,2,2,3,3,3,3
UID_200,1,1,1,1,1,0,0,1,0,2,1,1,2,1,3,3,2,1,2,2,2
UID_201,1,1,3,3,3,3,3,3,1,3,1,1,1,2,1,1,3,2,3,3,3
UID_202,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,2,2
UID_203,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,1,1,1,1,1,2
UID_204,3,2,2,2,2,2,2,3,1,2,3,3,3,3,1,3,1,3,3,2,2
UID_205,1,2,2,2,2,2,2,2,3,3,1,2,0,1,3,2,1,1,1,2,2
UID_206,1,1,1,1,0,0,0,3,2,1,1,1,1,1,1,1,3,2,3,3,2
UID_207,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,1,1,1,2,3
UID_208,2,1,1,1,1,1,1,1,2,2,2,2,3,2,3,0,0,3,0,0,3
UID_209,1,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3
UID_210,2,2,2,2,2,2,2,2,2,3,2,1,1,1,1,3,3,3,3,3,3
UID_211,1,1,2,2,2,2,2,1,2,2,0,0,2,2,3,2,3,3,3,3,3
UID_212,2,2,1,1,1,1,1,3,2,2,1,2,1,2,1,1,2,2,3,2,3
UID_213,3,3,1,1,1,1,1,1,3,2,1,1,1,1,1,2,2,2,1,2,2
UID_214,1,2,2,2,2,2,2,3,3,1,1,1,1,1,2,3,1,3,3,0,1
UID_215,2,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,0,0,0,2
UID_216,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,3
UID_217,2,2,2,1,1,1,1,2,3,3,2,1,2,1,3,1,0,0,1,2,2
UID_218,1,1,1,0,0,0,0,3,1,2,1,2,1,0,3,3,2,2,1,2,2
UID_219,1,2,3,3,3,3,3,2,2,3,2,3,2,2,2,2,2,2,3,3,2
UID_220,2,2,2,2,2,2,2,3,3,1,2,1,2,2,3,3,3,1,1,1,2
UID_221,1,3,3,3,3,3,3,3,3,1,3,2,3,2,1,2,3,3,2,3,3
UID_222,2,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,0,0,1
UID_223,2,1,1,1,1,1,1,1,0,3,1,2,0,3,1,0,0,1,1,1,3
UID_224,1,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3
UID_225,3,2,2,2,2,2,2,2,3,1,3,2,1,2,1,1,2,3,2,3,2
UID_226,3,3,1,1,1,1,1,3,0,3,0,0,2,0,3,2,0,1,1,0,0
UID_227,3,3,3,2,2,2,2,2,3,3,1,3,3,2,1,2,3,3,2,2,2
UID_228,1,1,2,0,0,0,0,2,2,0,1,2,1,1,2,2,1,2,1,2,3
UID_229,2,2,1,1,1,1,1,3,2,1,2,2,2,2,2,2,1,0,1,2,1
UID_230,1,2,2,2,2,2,2,3,3,1,2,2,2,2,0,1,3,2,3,3,2
UID_231,1,1,2,2,2,2,2,3,1,2,3,1,3,3,1,1,3,0,2,2,3
UID_232,1,3,3,3,3,3,3,1,3,2,3,3,3,3,1,2,3,3,2,3,3
UID_233,1,1,1,1,1,0,0,3,1,2,2,1,2,2,1,2,2,2,2,2,2
UID_234,3,3,1,1,1,1,1,3,2,2,2,3,2,2,2,2,1,2,2,2,2
UID_235,1,1,2,2,2,2,2,3,3,1,1,3,1,3,1,2,3,2,2,2,2
UID_236,1,1,1,1,1,0,0,1,1,2,2,2,1,2,2,2,1,0,2,3,3
UID_237,1,2,2,2,2,2,2,3,2,1,1,2,1,2,2,2,3,3,3,3,3
UID_238,3,3,1,1,1,1,1,3,3,2,2,2,2,2,1,1,3,3,2,2,2
UID_239,3,3,1,1,1,1,1,2,3,1,2,1,1,1,3,2,2,1,1,1,2
UID_240,1,1,1,0,0,0,0,1,2,0,1,2,1,1,1,2,2,3,2,3,2
UID_241,2,2,2,2,2,2,2,2,0,0,3,1,3,3,1,1,1,3,3,1,3
UID_242,1,1,3,3,3,3,3,1,2,3,2,3,3,3,2,0,3,3,3,1,3
UID_243,1,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,2,2,3,2
UID_244,1,1,1,0,0,0,0,2,1,1,3,2,1,1,3,2,2,2,0,0,1
UID_245,2,2,2,2,2,2,2,2,1,3,3,3,3,3,2,2,2,3,2,3,1
UID_246,1,2,2,2,2,2,2,2,3,2,3,3,2,3,0,1,1,1,1,3,3
UID_247,2,2,1,1,1,1,1,3,1,2,2,2,2,2,3,3,3,3,3,3,3
UID_248,1,1,0,0,0,0,0,2,2,3,1,3,3,2,1,0,1,1,1,1,1
UID_249,3,3,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,0,0,1,3
UID_250,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,1,3
UID_251,3,3,3,3,3,3,3,1,1,3,3,3,3,3,2,3,3,3,3,3,3
UID_252,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,3,3,2,2,1
UID_253,0,1,1,1,1,1,1,2,1,3,2,2,3,3,0,2,2,1,0,1,2
UID_254,1,1,1,1,1,1,1,2,3,2,2,3,3,3,1,0,0,1,0,2,2
UID_255,2,2,2,1,1,1,1,0,1,0,3,3,3,3,1,2,2,2,2,2,2
UID_256,1,1,0,0,0,0,0,2,3,2,2,3,2,3,2,2,3,2,3,0,2
UID_257,3,1,0,2,3,3,3,3,3,2,0,0,3,3,3,1,0,3,0,2,2
UID_258,3,1,0,0,2,3,0,3,3,2,0,0,0,2,3,1,0,0,2,3,0
UID_259,1,1,0,0,0,0,0,3,1,3,0,0,2,0,2,2,0,0,0,0,2
UID_260,3,2,0,0,0,1,1,3,2,2,0,0,1,1,2,2,0,1,0,0,1
UID_261,2,1,1,0,1,0,0,3,3,2,0,1,1,0,2,3,1,0,0,0,0
UID_262,1,3,1,3,0,1,1,3,3,2,0,0,1,1,2,3,1,1,1,3,1
UID_263,3,2,0,1,2,2,3,3,3,3,0,1,3,3,2,2,0,0,1,1,3
UID_264,3,2,0,0,1,1,1,3,2,2,0,0,1,1,2,2,0,1,0,1,1
UID_265,3,1,1,0,0,1,1,3,3,3,1,1,0,2,2,3,0,1,1,0,2
UID_266,3,2,0,1,0,0,0,3,2,3,2,0,3,3,1,2,2,2,1,1,0
UID_267,0,0,2,0,1,3,2,3,1,1,2,0,2,1,1,3,2,2,0,0,1
UID_268,2,3,0,1,0,0,0,3,2,3,1,2,0,1,1,3,3,0,1,1,2
UID_269,3,2,0,2,0,1,1,3,1,3,0,0,0,1,1,3,0,0,0,2,1
UID_270,1,0,1,1,0,0,1,3,1,2,1,0,0,1,1,0,1,0,1,1,1
UID_271,3,1,0,1,0,1,2,3,2,3,1,0,1,0,1,1,2,0,0,2,0
UID_272,1,1,1,1,0,1,3,3,0,3,0,0,1,3,1,1,1,1,1,0,1
UID_273,3,2,0,1,0,0,3,3,2,3,2,3,0,0,1,2,2,2,1,1,0
UID_274,1,1,1,1,0,0,0,3,1,3,0,2,1,0,1,1,1,1,0,0,2
UID_275,2,3,0,1,0,0,0,3,2,3,1,2,0,1,1,3,3,0,1,1,2
UID_276,3,2,0,0,2,0,2,3,1,3,0,0,2,2,1,3,0,0,0,3,0
UID_277,0,0,0,2,1,3,2,3,1,1,0,0,2,1,1,3,2,0,2,2,1
UID_278,3,2,0,1,0,1,0,3,3,3,0,3,3,1,0,3,0,1,1,0,3
UID_279,1,1,1,0,1,0,0,3,3,1,0,1,1,0,0,1,0,1,1,0,1
UID_280,3,2,1,0,0,1,0,3,3,3,1,3,3,1,0,3,1,0,0,0,3
UID_281,3,0,0,0,1,3,3,2,3,3,0,0,3,3,3,3,1,3,1,3,1
UID_282,2,0,0,0,1,0,1,2,2,1,0,0,0,1,3,1,0,2,0,1,1
UID_283,0,1,1,1,0,1,0,2,1,2,0,3,1,0,3,1,1,1,1,1,1
UID_284,3,2,1,0,1,2,1,2,2,3,1,1,3,1,3,3,1,1,0,0,2
UID_285,3,2,0,1,2,3,3,2,3,3,0,3,2,3,2,2,0,0,2,0,3
UID_286,2,1,1,1,2,3,1,2,2,2,2,1,2,1,2,2,1,1,1,1,2
UID_287,3,2,2,0,1,1,1,2,3,3,2,3,3,1,2,1,0,2,0,0,3
UID_288,1,3,0,0,3,3,3,2,3,3,0,1,3,3,2,2,0,0,3,0,3
UID_289,2,1,0,1,2,2,0,2,0,1,0,2,0,0,2,2,1,2,1,0,0
UID_290,3,1,0,0,0,3,3,2,3,2,0,0,0,3,2,0,0,2,2,0,2
UID_291,1,2,2,2,0,1,1,2,2,2,0,1,1,1,2,0,1,0,0,2,1
UID_292,3,2,0,0,2,3,3,2,3,3,0,3,2,3,2,2,0,1,2,0,3
UID_293,2,2,0,0,1,1,3,2,2,2,0,0,0,3,2,2,0,1,1,1,3
UID_294,3,1,3,2,1,3,1,2,1,1,0,1,1,1,2,1,2,1,1,1,1
UID_295,2,1,0,0,1,0,0,2,2,2,0,0,0,0,2,0,2,2,1,1,1
